ConvVAE,0,28,KL,MSEScore,5,111,28043.350341796875,28556.419921875,0.8894795555555556
ConvVAE,5,28,KL,MSEScore,5,111,24401.582194010418,23916.287109375,0.8861479444444444
ConvVAE,0,28,KL,MSEScore,10,111,27822.116821289062,27587.92578125,0.9036164444444444
ConvVAE,5,28,KL,MSEScore,5,111,24435.732503255207,24387.029296875,0.8873858888888889
ConvVAE,5,28,KL,MSEScore,10,111,23956.537923177082,25305.37109375,0.8549004444444444
ConvVAE,0,28,KL,MSEScore,20,111,27827.25467936198,28641.052734375,0.8972883333333334
ConvVAE,5,28,KL,MSEScore,20,111,23896.632934570312,24410.130859375,0.8696923333333334
ConvVAE,0,28,KL,MSEScore,50,111,27832.380330403645,29042.72265625,0.8918664444444445
ConvVAE,5,28,KL,MSEScore,50,111,23987.39571126302,25650.189453125,0.8640366666666668
ConvVAE,0,28,KL,MSEScore,100,111,27964.417032877605,29491.8046875,0.8965869444444445
ConvVAE,5,28,KL,MSEScore,100,111,24100.477172851562,24410.849609375,0.8596992222222224
ConvVAE,0,28,KL,MSEScore,5,222,28155.612630208332,27946.50390625,0.8942959444444445
ConvVAE,5,28,KL,MSEScore,5,222,24371.245768229168,24262.126953125,0.8630395555555557
ConvVAE,0,28,KL,MSEScore,10,222,27822.987874348957,27742.40625,0.9084712222222222
ConvVAE,5,28,KL,MSEScore,10,222,24037.2841796875,22981.283203125,0.871092388888889
ConvVAE,0,28,KL,MSEScore,20,222,27784.11405436198,28462.298828125,0.9001573333333333
ConvVAE,0,28,KL,MSEScore,50,222,27966.526611328125,28015.9765625,0.8896191666666665
ConvVAE,5,28,KL,MSEScore,20,222,23870.589599609375,25408.89453125,0.8435373888888889
ConvVAE,0,28,KL,MSEScore,100,222,27941.336873372395,28489.91796875,0.8906694444444444
ConvVAE,5,28,KL,MSEScore,50,222,24005.684977213543,24450.572265625,0.8622558333333333
ConvVAE,0,28,KL,MSEScore,5,333,28072.074666341145,28155.4375,0.9017592222222223
ConvVAE,5,28,KL,MSEScore,100,222,24067.756673177082,24913.041015625,0.8432327777777777
ConvVAE,0,28,KL,MSEScore,10,333,27798.298868815105,28731.267578125,0.8971612222222222
ConvVAE,5,28,KL,MSEScore,5,333,24349.384114583332,24803.0546875,0.8627356111111111
ConvVAE,0,28,KL,MSEScore,20,333,27841.39619954427,27825.880859375,0.8921856666666667
ConvVAE,5,28,KL,MSEScore,10,333,23982.530395507812,24925.45703125,0.8671196666666666
ConvVAE,0,28,KL,MSEScore,50,333,27965.882486979168,28142.1171875,0.8896973333333332
ConvVAE,5,28,KL,MSEScore,20,333,23888.381103515625,23547.05859375,0.8751426666666667
ConvVAE,0,28,KL,MSEScore,100,333,28020.25370279948,28672.5703125,0.8852342222222223
ConvVAE,5,28,KL,MSEScore,50,333,23986.086751302082,24054.353515625,0.861237
ConvVAE,1,28,KL,MSEScore,5,111,19706.556681315105,20175.923828125,0.9865246666666666
ConvVAE,5,28,KL,MSEScore,100,333,24102.732828776043,24462.712890625,0.8487887777777778
ConvVAE,1,28,KL,MSEScore,10,111,19713.057047526043,20118.8046875,0.9859383333333334
ConvVAE,6,28,KL,MSEScore,5,111,30284.688842773438,30673.53125,0.8213570555555556
ConvVAE,1,28,KL,MSEScore,20,111,19690.34159342448,19897.716796875,0.9835787777777778
ConvVAE,6,28,KL,MSEScore,10,111,30120.357950846355,31135.490234375,0.8198538888888889
ConvVAE,1,28,KL,MSEScore,50,111,19733.343709309895,19879.203125,0.9841763333333332
ConvVAE,6,28,KL,MSEScore,20,111,30139.351399739582,30720.09765625,0.8202384444444445
ConvVAE,1,28,KL,MSEScore,100,111,19799.579711914062,19125.720703125,0.9847488888888889
ConvVAE,6,28,KL,MSEScore,50,111,30147.958821614582,30716.875,0.8219355555555555
ConvVAE,1,28,KL,MSEScore,5,222,19728.281412760418,20422.099609375,0.9876322222222222
ConvVAE,6,28,KL,MSEScore,100,111,30261.434733072918,30824.125,0.8139972222222221
ConvVAE,1,28,KL,MSEScore,10,222,19670.551676432293,20370.521484375,0.9864642222222223
ConvVAE,6,28,KL,MSEScore,5,222,30330.903930664062,30909.80859375,0.8279253333333334
ConvVAE,1,28,KL,MSEScore,20,222,19703.5224609375,19355.697265625,0.984694
ConvVAE,6,28,KL,MSEScore,10,222,30114.350504557293,29861.517578125,0.8222845555555555
ConvVAE,1,28,KL,MSEScore,50,222,19774.946695963543,19022.10546875,0.9857533333333334
ConvVAE,6,28,KL,MSEScore,20,222,30187.267171223957,29734.6171875,0.8239856666666667
ConvVAE,1,28,KL,MSEScore,100,222,19839.166910807293,19221.28125,0.9848682222222221
ConvVAE,1,28,KL,MSEScore,5,333,19761.973388671875,19972.73828125,0.9868565
ConvVAE,6,28,KL,MSEScore,50,222,30228.896809895832,30042.2734375,0.8141448888888889
ConvVAE,1,28,KL,MSEScore,10,333,19672.208740234375,19596.44921875,0.9884167222222222
ConvVAE,6,28,KL,MSEScore,100,222,30316.645955403645,30520.6328125,0.8167704444444445
ConvVAE,1,28,KL,MSEScore,20,333,19722.171712239582,19793.69921875,0.9865148888888888
ConvVAE,6,28,KL,MSEScore,5,333,30283.637736002605,31773.25,0.8220725555555556
ConvVAE,1,28,KL,MSEScore,50,333,19735.814982096355,19231.01171875,0.9862455555555556
ConvVAE,6,28,KL,MSEScore,10,333,30092.102783203125,30902.81640625,0.8182120555555557
ConvVAE,1,28,KL,MSEScore,100,333,19818.218424479168,19653.294921875,0.9840298888888889
